ts_utc,couples_online,total_online
2026-07-28T08:49:36+00:00,42,1001
2026-07-28T11:06:53+00:00,43,941
2026-07-28T13:00:21+00:00,66,1224
2026-07-28T15:30:49+00:00,72,1312
2026-07-28T17:06:13+00:00,67,1274
2026-07-28T18:41:19+00:00,63,1228
2026-07-28T20:05:22+00:00,88,1379
2026-07-28T21:19:39+00:00,84,1488
2026-07-28T22:30:21+00:00,81,1401
2026-07-28T23:36:30+00:00,90,1300
2026-07-29T01:05:33+00:00,70,1087
2026-07-29T04:26:37+00:00,60,919
2026-07-29T07:14:10+00:00,62,1103
2026-07-29T09:48:52+00:00,52,1053
2026-07-29T11:51:53+00:00,52,971
2026-07-29T13:29:51+00:00,66,1239
2026-07-29T15:29:15+00:00,75,1302
2026-07-29T16:49:12+00:00,67,1347
2026-07-29T18:00:28+00:00,62,1193
2026-07-29T19:39:47+00:00,73,1273
2026-07-29T20:34:00+00:00,84,1412
2026-07-29T21:32:22+00:00,79,1402
2026-07-29T22:35:59+00:00,72,1338
2026-07-29T23:39:02+00:00,67,1230
2026-07-30T01:00:21+00:00,56,1053
2026-07-30T04:16:13+00:00,58,942
2026-07-30T07:06:52+00:00,62,1055
2026-07-30T09:38:14+00:00,64,1030
2026-07-30T11:31:29+00:00,63,938
2026-07-30T13:12:25+00:00,66,1217
2026-07-30T15:22:03+00:00,63,1329
2026-07-30T16:56:06+00:00,73,1301
2026-07-30T18:09:01+00:00,65,1271
2026-07-30T19:47:42+00:00,81,1306
2026-07-30T20:52:19+00:00,94,1503
2026-07-30T21:54:55+00:00,94,1525
2026-07-30T22:53:48+00:00,88,1426
2026-07-30T23:49:27+00:00,73,1307
2026-07-31T01:22:51+00:00,58,1100
2026-07-31T04:50:05+00:00,59,1031
2026-07-31T07:42:16+00:00,60,1125
2026-07-31T10:14:18+00:00,50,1050
2026-07-31T12:16:23+00:00,53,1096
2026-07-31T14:43:18+00:00,63,1301
2026-07-31T16:23:15+00:00,70,1299
2026-07-31T17:58:57+00:00,79,1321
2026-07-31T19:20:05+00:00,82,1314
2026-07-31T20:38:48+00:00,96,1540
2026-07-31T21:43:55+00:00,92,1555
2026-07-31T22:41:50+00:00,90,1419
2026-07-31T23:39:46+00:00,71,1283
2026-08-01T01:10:40+00:00,74,1127
2026-08-01T04:32:36+00:00,65,950
2026-08-01T07:11:13+00:00,51,999
2026-08-01T09:18:11+00:00,54,975
2026-08-01T10:53:24+00:00,51,901
2026-08-01T11:53:15+00:00,48,920
2026-08-01T12:46:30+00:00,57,1025
2026-08-01T14:18:22+00:00,52,1135
2026-08-01T15:32:37+00:00,55,1195
2026-08-01T16:34:38+00:00,56,1191
2026-08-01T17:39:12+00:00,61,1156
2026-08-01T18:36:21+00:00,64,1096
2026-08-01T19:50:20+00:00,65,1189
2026-08-01T20:38:18+00:00,62,1259
2026-08-01T21:32:38+00:00,71,1284
2026-08-01T22:33:56+00:00,83,1212
2026-08-01T23:36:52+00:00,69,1138
2026-08-02T01:11:39+00:00,52,940
2026-08-02T04:36:56+00:00,54,859
2026-08-02T07:14:52+00:00,46,867
2026-08-02T09:21:02+00:00,42,857
2026-08-02T10:54:47+00:00,64,858
2026-08-02T11:50:41+00:00,61,858
2026-08-02T12:49:39+00:00,59,909
2026-08-02T14:20:14+00:00,50,964
2026-08-02T15:33:41+00:00,50,983
2026-08-02T16:33:40+00:00,50,994
2026-08-02T17:41:24+00:00,53,1006
2026-08-02T18:38:23+00:00,60,981
2026-08-02T19:49:51+00:00,68,1100
2026-08-02T20:40:14+00:00,77,1159
2026-08-02T21:32:44+00:00,53,1099
2026-08-02T22:35:03+00:00,64,994
2026-08-02T23:37:41+00:00,51,907
2026-08-03T01:12:13+00:00,44,777
2026-08-03T04:45:20+00:00,39,759
2026-08-03T08:17:48+00:00,43,871
2026-08-03T11:51:42+00:00,47,925
2026-08-03T14:08:01+00:00,60,1119
2026-08-03T16:38:06+00:00,56,1173
2026-08-03T18:23:41+00:00,65,1176
2026-08-03T20:05:21+00:00,69,1306
2026-08-03T21:18:22+00:00,76,1351
2026-08-03T22:31:10+00:00,69,1263
2026-08-03T23:43:48+00:00,64,1098
2026-08-04T01:05:56+00:00,55,988
2026-08-04T04:27:37+00:00,53,816
2026-08-04T07:08:25+00:00,45,955
2026-08-04T09:47:47+00:00,50,944
2026-08-04T11:52:32+00:00,41,917
2026-08-04T13:30:11+00:00,58,1118
2026-08-04T15:59:39+00:00,52,1199
2026-08-04T17:47:37+00:00,61,1187
2026-08-04T19:14:29+00:00,62,1203
2026-08-04T20:42:56+00:00,84,1447
2026-08-04T21:54:44+00:00,87,1386
2026-08-04T22:49:55+00:00,73,1291
2026-08-04T23:50:58+00:00,72,1171
2026-08-05T01:15:36+00:00,60,984
2026-08-05T04:34:28+00:00,46,872
2026-08-05T07:21:11+00:00,59,1034
2026-08-05T10:02:36+00:00,55,973
2026-08-05T12:12:17+00:00,53,987
2026-08-05T14:30:50+00:00,68,1252
2026-08-05T16:19:18+00:00,62,1232
2026-08-05T17:59:11+00:00,79,1254
2026-08-05T19:25:51+00:00,61,1241
2026-08-05T20:41:57+00:00,68,1395
2026-08-05T21:53:45+00:00,77,1356
2026-08-05T22:45:40+00:00,66,1288
2026-08-05T23:44:14+00:00,57,1167
2026-08-06T01:05:26+00:00,59,1063
2026-08-06T04:26:51+00:00,55,916
2026-08-06T07:11:43+00:00,52,1029
2026-08-06T09:49:11+00:00,53,997
2026-08-06T11:53:58+00:00,48,1024
2026-08-06T13:26:42+00:00,56,1204
2026-08-06T15:38:20+00:00,68,1250
2026-08-07T00:34:58+00:00,60,1156
2026-08-07T03:36:12+00:00,66,931
2026-08-07T05:20:48+00:00,65,1035
2026-08-07T06:39:01+00:00,48,1005
2026-08-07T07:55:46+00:00,44,1070
2026-08-07T08:44:25+00:00,57,1112
2026-08-07T09:40:53+00:00,52,1091
2026-08-07T10:31:34+00:00,44,984
2026-08-07T11:28:50+00:00,53,989
2026-08-07T12:07:46+00:00,51,1020
2026-08-07T13:34:10+00:00,62,1211
2026-08-07T14:36:57+00:00,60,1197
2026-08-07T15:32:14+00:00,88,1230
2026-08-07T16:30:31+00:00,62,1231
2026-08-07T17:29:57+00:00,64,1185
2026-08-07T18:11:49+00:00,58,1204
2026-08-07T19:12:42+00:00,67,1253
2026-08-07T19:57:49+00:00,82,1366
2026-08-07T20:34:16+00:00,93,1442
2026-08-07T21:20:14+00:00,87,1481
2026-08-07T22:01:34+00:00,82,1394
2026-08-07T22:52:08+00:00,88,1344
2026-08-07T23:21:47+00:00,80,1256
2026-08-07T23:53:32+00:00,75,1184
2026-08-08T00:38:34+00:00,64,1094
2026-08-08T02:33:10+00:00,63,916
2026-08-08T03:55:51+00:00,70,896
2026-08-08T04:45:09+00:00,62,921
2026-08-08T05:32:37+00:00,50,952
2026-08-08T06:23:41+00:00,57,1035
2026-08-08T07:25:34+00:00,59,1050
2026-08-08T08:04:41+00:00,65,1041
2026-08-08T08:56:03+00:00,60,1048
2026-08-08T09:27:02+00:00,66,998
2026-08-08T10:01:23+00:00,59,956
2026-08-08T10:48:01+00:00,57,888
2026-08-08T11:17:24+00:00,54,909
2026-08-08T11:49:27+00:00,57,929
2026-08-08T12:19:31+00:00,53,1009
2026-08-08T13:23:28+00:00,56,1133
2026-08-08T14:02:42+00:00,63,1223
2026-08-08T14:46:22+00:00,68,1233
2026-08-08T15:15:58+00:00,71,1246
2026-08-08T15:52:02+00:00,69,1231
2026-08-08T16:16:11+00:00,75,1231
2026-08-08T16:57:55+00:00,68,1249
2026-08-08T17:23:49+00:00,70,1219
2026-08-08T17:53:31+00:00,79,1201
2026-08-08T18:18:07+00:00,73,1202
2026-08-08T19:05:01+00:00,66,1168
2026-08-08T19:41:00+00:00,74,1273
2026-08-08T19:59:57+00:00,88,1334
2026-08-08T20:29:37+00:00,94,1392
2026-08-08T20:58:43+00:00,93,1433
2026-08-08T21:26:00+00:00,103,1374
2026-08-08T21:52:47+00:00,96,1377
2026-08-08T22:14:33+00:00,88,1346
2026-08-08T22:46:28+00:00,80,1309
2026-08-08T23:15:15+00:00,71,1237
2026-08-08T23:49:49+00:00,71,1178
2026-08-09T00:41:09+00:00,72,1105
2026-08-09T02:49:44+00:00,60,853
2026-08-09T04:06:53+00:00,69,847
2026-08-09T05:15:39+00:00,66,893
2026-08-09T06:04:20+00:00,67,894
2026-08-09T07:12:22+00:00,51,917
2026-08-09T07:59:25+00:00,53,935
2026-08-09T08:40:11+00:00,53,952
2026-08-09T09:21:13+00:00,64,925
2026-08-09T10:01:16+00:00,65,926
2026-08-09T10:49:36+00:00,65,871
2026-08-09T11:17:42+00:00,54,853
2026-08-09T11:51:25+00:00,57,904
2026-08-09T12:21:19+00:00,56,919
2026-08-09T13:27:33+00:00,65,1041
2026-08-09T14:04:49+00:00,75,1027
2026-08-09T14:49:14+00:00,66,1057
2026-08-09T15:18:22+00:00,73,1048
2026-08-09T15:53:33+00:00,72,1125
2026-08-09T16:18:13+00:00,61,1027
2026-08-09T17:01:23+00:00,61,1085
2026-08-09T17:44:12+00:00,71,1078
2026-08-09T18:04:33+00:00,75,1066
2026-08-09T18:57:29+00:00,75,1096
2026-08-09T19:27:08+00:00,73,1129
2026-08-09T19:54:35+00:00,74,1202
2026-08-09T20:16:23+00:00,72,1205
2026-08-09T20:57:49+00:00,74,1224
2026-08-09T21:25:18+00:00,73,1202
2026-08-09T21:54:56+00:00,75,1154
2026-08-09T22:16:09+00:00,73,1090
2026-08-09T22:55:11+00:00,69,1025
2026-08-09T23:17:31+00:00,61,969
2026-08-09T23:53:42+00:00,56,923
2026-08-10T00:42:57+00:00,46,848
2026-08-10T02:58:19+00:00,37,668
2026-08-10T04:26:03+00:00,36,688
2026-08-10T05:51:56+00:00,36,840
2026-08-10T07:02:33+00:00,30,895
2026-08-10T08:49:02+00:00,35,924
2026-08-10T10:06:00+00:00,40,884
2026-08-10T11:18:56+00:00,37,851
2026-08-10T12:05:17+00:00,47,966
2026-08-10T13:39:31+00:00,48,942
2026-08-10T14:41:21+00:00,55,957
2026-08-10T15:35:03+00:00,50,920
2026-08-10T16:28:36+00:00,59,955
2026-08-10T17:24:11+00:00,60,946
2026-08-10T18:09:11+00:00,62,928
2026-08-10T19:12:16+00:00,61,992
2026-08-10T19:59:43+00:00,76,1129
2026-08-10T20:41:22+00:00,75,1157
2026-08-10T21:24:34+00:00,76,1125
2026-08-10T22:03:12+00:00,65,1066
2026-08-10T22:53:28+00:00,47,974
2026-08-10T23:22:32+00:00,45,916
2026-08-10T23:55:53+00:00,52,864
2026-08-11T00:52:02+00:00,53,769
2026-08-11T02:56:22+00:00,42,667
2026-08-11T04:11:32+00:00,49,680
2026-08-11T05:20:25+00:00,50,814
2026-08-11T06:11:27+00:00,52,861
2026-08-11T07:33:34+00:00,47,917
2026-08-11T08:34:40+00:00,54,963
2026-08-11T09:38:14+00:00,51,881
2026-08-11T10:30:27+00:00,49,940
2026-08-11T11:26:03+00:00,50,880
2026-08-11T12:04:29+00:00,42,898
2026-08-11T13:37:21+00:00,48,1054
2026-08-11T14:40:36+00:00,59,1092
2026-08-11T15:34:00+00:00,62,1146
2026-08-11T16:30:42+00:00,52,1116
2026-08-11T17:36:20+00:00,53,1109
2026-08-11T18:31:32+00:00,55,1071
2026-08-11T19:42:30+00:00,76,1205
2026-08-11T20:22:34+00:00,78,1276
2026-08-11T21:10:04+00:00,76,1295
2026-08-11T22:00:10+00:00,78,1259
2026-08-11T22:58:49+00:00,66,1136
2026-08-11T23:36:28+00:00,61,1059
2026-08-12T00:40:14+00:00,47,961
2026-08-12T03:08:02+00:00,54,776
2026-08-12T04:57:26+00:00,61,893
2026-08-12T06:08:01+00:00,57,905
2026-08-12T07:47:44+00:00,55,989
2026-08-12T08:56:54+00:00,59,1022
2026-08-12T09:53:58+00:00,57,953
2026-08-12T10:47:05+00:00,47,932
2026-08-12T11:36:21+00:00,49,903
2026-08-12T12:29:23+00:00,62,996
2026-08-12T13:56:11+00:00,71,1161
2026-08-12T14:49:59+00:00,65,1127
2026-08-12T15:45:51+00:00,69,1165
2026-08-12T16:42:53+00:00,68,1175
2026-08-12T17:40:33+00:00,59,1127
2026-08-12T18:32:32+00:00,72,1125
